"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 23 16:00:33 GMT 2025","Wed Jul 23 16:00:37 GMT 2025","4104","","ui.pages.SearchSideBarPageTests","","ui.pages.SearchSideBarPageTests","checkInputHintText","checkInputHintText()","Check placeholder text of search input"
"skipped","Wed Jul 23 15:59:48 GMT 2025","Wed Jul 23 15:59:48 GMT 2025","0","","ui.pages.AccountSideBarPageTests","","ui.pages.AccountSideBarPageTests","signOutTest","signOutTest()",""
"broken","Wed Jul 23 16:00:58 GMT 2025","Wed Jul 23 16:01:04 GMT 2025","6065","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","checkItemQtyInBag","checkItemQtyInBag()",""
"passed","Wed Jul 23 16:00:11 GMT 2025","Wed Jul 23 16:00:16 GMT 2025","5505","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","openHdrCartBttnTest","openHdrCartBttnTest()","Open Cart icon is present in header component, clickable and go home page"
"broken","Wed Jul 23 15:59:48 GMT 2025","Wed Jul 23 15:59:48 GMT 2025","7","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getZeroResultsTest","getZeroResultsTest()",""
"broken","Wed Jul 23 15:59:48 GMT 2025","Wed Jul 23 15:59:48 GMT 2025","9","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getSearchResultByBrandTest","getSearchResultByBrandTest()",""
"broken","Wed Jul 23 15:59:48 GMT 2025","Wed Jul 23 15:59:48 GMT 2025","5","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","checkSearchResultFilteredByBrandTest","checkSearchResultFilteredByBrandTest()",""
"broken","Wed Jul 23 16:00:33 GMT 2025","Wed Jul 23 16:00:33 GMT 2025","0","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","","MenuComponentTests",""
"passed","Wed Jul 23 15:59:53 GMT 2025","Wed Jul 23 15:59:59 GMT 2025","5329","","ui.pages.AccountSideBarPageTests","","ui.pages.AccountSideBarPageTests","openCreateAccountPageTest","openCreateAccountPageTest()","Open Create Account page"
"broken","Wed Jul 23 16:01:11 GMT 2025","Wed Jul 23 16:01:17 GMT 2025","6022","","ui.pages.WomenNewArrivalsPageTests","","ui.pages.WomenNewArrivalsPageTests","clickRandomItem","clickRandomItem()","accessibility add item to bag"
"broken","Wed Jul 23 15:59:48 GMT 2025","Wed Jul 23 15:59:48 GMT 2025","3","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getSearchResultByGenderTest","getSearchResultByGenderTest()",""
"broken","Wed Jul 23 15:59:48 GMT 2025","Wed Jul 23 15:59:48 GMT 2025","40","","api.tests.CartApiTests","","api.tests.CartApiTests","addMinImpossibleItemsTest","addMinImpossibleItemsTest()",""
"passed","Wed Jul 23 16:00:25 GMT 2025","Wed Jul 23 16:00:28 GMT 2025","3731","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","checkLogoAEHeaderTest","checkLogoAEHeaderTest()","Check AE logo"
"skipped","Wed Jul 23 16:01:11 GMT 2025","Wed Jul 23 16:01:11 GMT 2025","0","","ui.pages.SignInPageTests","","ui.pages.SignInPageTests","signInTest","signInTest()",""
"skipped","Wed Jul 23 15:59:59 GMT 2025","Wed Jul 23 15:59:59 GMT 2025","0","","ui.pages.CreateAccountPageTests","","ui.pages.CreateAccountPageTests","createAccountSuccess","createAccountSuccess()",""
"broken","Wed Jul 23 16:00:05 GMT 2025","Wed Jul 23 16:00:11 GMT 2025","5858","","ui.pages.FastShopPageTests","","ui.pages.FastShopPageTests","addItemToBag","addItemToBag()",""
"broken","Wed Jul 23 16:01:05 GMT 2025","Wed Jul 23 16:01:11 GMT 2025","6350","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","addRandomCountOfItemsToBag","addRandomCountOfItemsToBag()",""
"broken","Wed Jul 23 15:59:59 GMT 2025","Wed Jul 23 16:00:05 GMT 2025","5888","","ui.pages.FastMenuComponentTests","","ui.pages.FastMenuComponentTests","openFastWomenNewMenuTest","openFastWomenNewMenuTest()",""
"broken","Wed Jul 23 15:59:48 GMT 2025","Wed Jul 23 15:59:48 GMT 2025","5","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getSearchResultTest","getSearchResultTest()",""
"broken","Wed Jul 23 15:59:48 GMT 2025","Wed Jul 23 15:59:48 GMT 2025","4","","api.tests.CartApiSuitSmokeTests","","api.tests.CartApiSuitSmokeTests","","CartApiSuitSmokeTests",""
"broken","Wed Jul 23 16:00:53 GMT 2025","Wed Jul 23 16:00:58 GMT 2025","5913","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","checkItemSizeInBag","checkItemSizeInBag()",""
"passed","Wed Jul 23 15:59:48 GMT 2025","Wed Jul 23 15:59:53 GMT 2025","5276","","ui.pages.AccountSideBarPageTests","","ui.pages.AccountSideBarPageTests","openSignInPageTest","openSignInPageTest()","Open SignIn page"
"passed","Wed Jul 23 16:00:37 GMT 2025","Wed Jul 23 16:00:47 GMT 2025","9516","","ui.pages.SearchSideBarPageTests","","ui.pages.SearchSideBarPageTests","enterForSearch","enterForSearch()","Get search input"
"passed","Wed Jul 23 16:00:28 GMT 2025","Wed Jul 23 16:00:32 GMT 2025","3845","","ui.pages.HomePageTests","","ui.pages.HomePageTests","openHomePageTest","openHomePageTest()","Open home page"
"broken","Wed Jul 23 16:00:47 GMT 2025","Wed Jul 23 16:00:53 GMT 2025","5994","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","checkItemColorInBag","checkItemColorInBag()",""
"passed","Wed Jul 23 16:00:20 GMT 2025","Wed Jul 23 16:00:25 GMT 2025","4258","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","openHdrAcntBttnTest","openHdrAcntBttnTest()","Open Account icon is present in header component, clickable and closable"
"skipped","Wed Jul 23 16:00:33 GMT 2025","Wed Jul 23 16:00:33 GMT 2025","0","","ui.pages.OrderHistoryPageTests","","ui.pages.OrderHistoryPageTests","checkOrdersOfNewUserTest","checkOrdersOfNewUserTest()",""
