"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 23 16:26:53 GMT 2025","Wed Jul 23 16:26:57 GMT 2025","3826","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","checkLogoAEHeaderTest","checkLogoAEHeaderTest()","Check AE logo"
"passed","Wed Jul 23 16:26:22 GMT 2025","Wed Jul 23 16:26:27 GMT 2025","5011","","ui.pages.AccountSideBarPageTests","","ui.pages.AccountSideBarPageTests","openCreateAccountPageTest","openCreateAccountPageTest()","Open Create Account page"
"skipped","Wed Jul 23 16:27:01 GMT 2025","Wed Jul 23 16:27:01 GMT 2025","0","","ui.pages.OrderHistoryPageTests","","ui.pages.OrderHistoryPageTests","checkOrdersOfNewUserTest","checkOrdersOfNewUserTest()",""
"broken","Wed Jul 23 16:27:01 GMT 2025","Wed Jul 23 16:27:01 GMT 2025","0","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","","MenuComponentTests",""
"broken","Wed Jul 23 16:27:19 GMT 2025","Wed Jul 23 16:27:24 GMT 2025","5614","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","checkItemSizeInBag","checkItemSizeInBag()",""
"broken","Wed Jul 23 16:27:13 GMT 2025","Wed Jul 23 16:27:19 GMT 2025","5874","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","checkItemColorInBag","checkItemColorInBag()",""
"broken","Wed Jul 23 16:27:30 GMT 2025","Wed Jul 23 16:27:35 GMT 2025","5613","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","addRandomCountOfItemsToBag","addRandomCountOfItemsToBag()",""
"broken","Wed Jul 23 16:27:35 GMT 2025","Wed Jul 23 16:27:41 GMT 2025","5912","","ui.pages.WomenNewArrivalsPageTests","","ui.pages.WomenNewArrivalsPageTests","clickRandomItem","clickRandomItem()","accessibility add item to bag"
"broken","Wed Jul 23 16:26:17 GMT 2025","Wed Jul 23 16:26:17 GMT 2025","3","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getZeroResultsTest","getZeroResultsTest()",""
"broken","Wed Jul 23 16:26:33 GMT 2025","Wed Jul 23 16:26:39 GMT 2025","5820","","ui.pages.FastShopPageTests","","ui.pages.FastShopPageTests","addItemToBag","addItemToBag()",""
"broken","Wed Jul 23 16:26:17 GMT 2025","Wed Jul 23 16:26:17 GMT 2025","3","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getSearchResultByBrandTest","getSearchResultByBrandTest()",""
