"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 24 05:17:02 GMT 2025","Thu Jul 24 05:17:03 GMT 2025","861","","api.tests.CartApiSuitSmokeTests","","api.tests.CartApiSuitSmokeTests","addItemTest","addItemTest()",""
"passed","Thu Jul 24 05:18:11 GMT 2025","Thu Jul 24 05:18:14 GMT 2025","3134","","ui.pages.HomePageTests","","ui.pages.HomePageTests","openHomePageTest","openHomePageTest()","Open home page"
"failed","Thu Jul 24 05:18:50 GMT 2025","Thu Jul 24 05:19:16 GMT 2025","26152","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","checkItemSizeInBag","checkItemSizeInBag()",""
"passed","Thu Jul 24 05:18:07 GMT 2025","Thu Jul 24 05:18:11 GMT 2025","3099","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","checkLogoAEHeaderTest","checkLogoAEHeaderTest()","Check AE logo"
"failed","Thu Jul 24 05:19:16 GMT 2025","Thu Jul 24 05:19:40 GMT 2025","24128","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","checkItemQtyInBag","checkItemQtyInBag()",""
"passed","Thu Jul 24 05:17:05 GMT 2025","Thu Jul 24 05:17:05 GMT 2025","359","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","checkSearchResultFilteredByBrandTest","checkSearchResultFilteredByBrandTest()",""
"skipped","Thu Jul 24 05:18:14 GMT 2025","Thu Jul 24 05:18:14 GMT 2025","0","","ui.pages.OrderHistoryPageTests","","ui.pages.OrderHistoryPageTests","checkOrdersOfNewUserTest","checkOrdersOfNewUserTest()",""
"passed","Thu Jul 24 05:18:14 GMT 2025","Thu Jul 24 05:18:18 GMT 2025","3657","","ui.pages.SearchSideBarPageTests","","ui.pages.SearchSideBarPageTests","checkInputHintText","checkInputHintText()","Check placeholder text of search input"
"passed","Thu Jul 24 05:17:03 GMT 2025","Thu Jul 24 05:17:04 GMT 2025","962","","api.tests.CartApiSuitSmokeTests","","api.tests.CartApiSuitSmokeTests","updateItemTest","updateItemTest()",""
"broken","Thu Jul 24 05:19:40 GMT 2025","Thu Jul 24 05:20:06 GMT 2025","25516","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","addRandomCountOfItemsToBag","addRandomCountOfItemsToBag()",""
"passed","Thu Jul 24 05:17:04 GMT 2025","Thu Jul 24 05:17:05 GMT 2025","554","","api.tests.CartApiSuitSmokeTests","","api.tests.CartApiSuitSmokeTests","deleteItemTest","deleteItemTest()",""
"passed","Thu Jul 24 05:17:02 GMT 2025","Thu Jul 24 05:17:02 GMT 2025","606","","api.tests.CartApiSuitSmokeTests","","api.tests.CartApiSuitSmokeTests","getCartInfoTest","getCartInfoTest()",""
"passed","Thu Jul 24 05:17:06 GMT 2025","Thu Jul 24 05:17:07 GMT 2025","336","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getSearchResultByBrandTest","getSearchResultByBrandTest()",""
"passed","Thu Jul 24 05:18:04 GMT 2025","Thu Jul 24 05:18:07 GMT 2025","3932","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","openHdrAcntBttnTest","openHdrAcntBttnTest()","Open Account icon is present in header component, clickable and closable"
"passed","Thu Jul 24 05:17:59 GMT 2025","Thu Jul 24 05:18:04 GMT 2025","4092","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","openHdrSrchSideBar","openHdrSrchSideBar()","Opening search icon is present in header component, clickable and closable"
"passed","Thu Jul 24 05:20:06 GMT 2025","Thu Jul 24 05:20:22 GMT 2025","15997","","ui.pages.WomenNewArrivalsPageTests","","ui.pages.WomenNewArrivalsPageTests","clickRandomItem","clickRandomItem()","accessibility add item to bag"
"passed","Thu Jul 24 05:17:06 GMT 2025","Thu Jul 24 05:17:06 GMT 2025","316","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getSearchResultTest","getSearchResultTest()",""
"failed","Thu Jul 24 05:18:24 GMT 2025","Thu Jul 24 05:18:50 GMT 2025","25636","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","checkItemColorInBag","checkItemColorInBag()",""
"skipped","Thu Jul 24 05:17:16 GMT 2025","Thu Jul 24 05:17:16 GMT 2025","0","","ui.pages.CreateAccountPageTests","","ui.pages.CreateAccountPageTests","createAccountSuccess","createAccountSuccess()",""
"skipped","Thu Jul 24 05:17:07 GMT 2025","Thu Jul 24 05:17:07 GMT 2025","1","","ui.pages.AccountSideBarPageTests","","ui.pages.AccountSideBarPageTests","signOutTest","signOutTest()",""
"passed","Thu Jul 24 05:17:06 GMT 2025","Thu Jul 24 05:17:06 GMT 2025","255","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getZeroResultsTest","getZeroResultsTest()",""
"broken","Thu Jul 24 05:18:14 GMT 2025","Thu Jul 24 05:18:14 GMT 2025","0","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","","MenuComponentTests",""
"skipped","Thu Jul 24 05:20:06 GMT 2025","Thu Jul 24 05:20:06 GMT 2025","0","","ui.pages.SignInPageTests","","ui.pages.SignInPageTests","signInTest","signInTest()",""
"passed","Thu Jul 24 05:18:18 GMT 2025","Thu Jul 24 05:18:24 GMT 2025","6510","","ui.pages.SearchSideBarPageTests","","ui.pages.SearchSideBarPageTests","enterForSearch","enterForSearch()","Get search input"
"passed","Thu Jul 24 05:17:54 GMT 2025","Thu Jul 24 05:17:59 GMT 2025","5839","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","openHdrCartBttnTest","openHdrCartBttnTest()","Open Cart icon is present in header component, clickable and go home page"
"passed","Thu Jul 24 05:17:12 GMT 2025","Thu Jul 24 05:17:16 GMT 2025","4714","","ui.pages.AccountSideBarPageTests","","ui.pages.AccountSideBarPageTests","openCreateAccountPageTest","openCreateAccountPageTest()","Open Create Account page"
"passed","Thu Jul 24 05:17:05 GMT 2025","Thu Jul 24 05:17:05 GMT 2025","206","","api.tests.CartApiTests","","api.tests.CartApiTests","addMinImpossibleItemsTest","addMinImpossibleItemsTest()",""
