"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 23 17:11:37 GMT 2025","Wed Jul 23 17:11:46 GMT 2025","9023","","ui.pages.SearchSideBarPageTests","","ui.pages.SearchSideBarPageTests","checkInputHintText","checkInputHintText()","Check placeholder text of search input"
"passed","Wed Jul 23 17:11:28 GMT 2025","Wed Jul 23 17:11:33 GMT 2025","4941","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","checkLogoAEHeaderTest","checkLogoAEHeaderTest()","Check AE logo"
"broken","Wed Jul 23 17:10:38 GMT 2025","Wed Jul 23 17:10:38 GMT 2025","52","","api.tests.CartApiTests","","api.tests.CartApiTests","addMinImpossibleItemsTest","addMinImpossibleItemsTest()",""
"broken","Wed Jul 23 17:12:03 GMT 2025","Wed Jul 23 17:12:10 GMT 2025","7083","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","checkItemQtyInBag","checkItemQtyInBag()",""
"broken","Wed Jul 23 17:10:38 GMT 2025","Wed Jul 23 17:10:39 GMT 2025","24","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getSearchResultByGenderTest","getSearchResultByGenderTest()",""
"failed","Wed Jul 23 17:11:08 GMT 2025","Wed Jul 23 17:11:14 GMT 2025","6197","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","openHdrCartBttnTest","openHdrCartBttnTest()","Open Cart icon is present in header component, clickable and go home page"
"passed","Wed Jul 23 17:11:14 GMT 2025","Wed Jul 23 17:11:21 GMT 2025","7159","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","openHdrSrchSideBar","openHdrSrchSideBar()","Opening search icon is present in header component, clickable and closable"
"skipped","Wed Jul 23 17:10:53 GMT 2025","Wed Jul 23 17:10:53 GMT 2025","0","","ui.pages.CreateAccountPageTests","","ui.pages.CreateAccountPageTests","createAccountSuccess","createAccountSuccess()",""
"broken","Wed Jul 23 17:10:53 GMT 2025","Wed Jul 23 17:11:00 GMT 2025","6721","","ui.pages.FastMenuComponentTests","","ui.pages.FastMenuComponentTests","openFastWomenNewMenuTest","openFastWomenNewMenuTest()",""
"broken","Wed Jul 23 17:11:57 GMT 2025","Wed Jul 23 17:12:03 GMT 2025","5722","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","checkItemSizeInBag","checkItemSizeInBag()",""
"broken","Wed Jul 23 17:12:10 GMT 2025","Wed Jul 23 17:12:17 GMT 2025","6817","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","addRandomCountOfItemsToBag","addRandomCountOfItemsToBag()",""
"passed","Wed Jul 23 17:11:33 GMT 2025","Wed Jul 23 17:11:36 GMT 2025","2601","","ui.pages.HomePageTests","","ui.pages.HomePageTests","openHomePageTest","openHomePageTest()","Open home page"
"broken","Wed Jul 23 17:10:38 GMT 2025","Wed Jul 23 17:10:38 GMT 2025","1","","api.tests.CartApiSuitSmokeTests","","api.tests.CartApiSuitSmokeTests","","CartApiSuitSmokeTests",""
"broken","Wed Jul 23 17:11:00 GMT 2025","Wed Jul 23 17:11:08 GMT 2025","8179","","ui.pages.FastShopPageTests","","ui.pages.FastShopPageTests","addItemToBag","addItemToBag()",""
"skipped","Wed Jul 23 17:10:39 GMT 2025","Wed Jul 23 17:10:39 GMT 2025","0","","ui.pages.AccountSideBarPageTests","","ui.pages.AccountSideBarPageTests","signOutTest","signOutTest()",""
"passed","Wed Jul 23 17:10:45 GMT 2025","Wed Jul 23 17:10:53 GMT 2025","8484","","ui.pages.AccountSideBarPageTests","","ui.pages.AccountSideBarPageTests","openCreateAccountPageTest","openCreateAccountPageTest()","Open Create Account page"
"broken","Wed Jul 23 17:10:39 GMT 2025","Wed Jul 23 17:10:39 GMT 2025","21","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getSearchResultByBrandTest","getSearchResultByBrandTest()",""
"broken","Wed Jul 23 17:12:17 GMT 2025","Wed Jul 23 17:12:25 GMT 2025","7875","","ui.pages.WomenNewArrivalsPageTests","","ui.pages.WomenNewArrivalsPageTests","clickRandomItem","clickRandomItem()","accessibility add item to bag"
"broken","Wed Jul 23 17:11:37 GMT 2025","Wed Jul 23 17:11:37 GMT 2025","0","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","","MenuComponentTests",""
"broken","Wed Jul 23 17:11:51 GMT 2025","Wed Jul 23 17:11:57 GMT 2025","6062","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","checkItemColorInBag","checkItemColorInBag()",""
