"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jul 23 18:26:43 GMT 2025","Wed Jul 23 18:26:43 GMT 2025","0","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","","MenuComponentTests",""
"passed","Wed Jul 23 18:26:00 GMT 2025","Wed Jul 23 18:26:05 GMT 2025","5057","","ui.pages.AccountSideBarPageTests","","ui.pages.AccountSideBarPageTests","openCreateAccountPageTest","openCreateAccountPageTest()","Open Create Account page"
"passed","Wed Jul 23 18:25:53 GMT 2025","Wed Jul 23 18:25:53 GMT 2025","149","","api.tests.CartApiTests","","api.tests.CartApiTests","addMinImpossibleItemsTest","addMinImpossibleItemsTest()",""
"passed","Wed Jul 23 18:26:48 GMT 2025","Wed Jul 23 18:26:55 GMT 2025","7309","","ui.pages.SearchSideBarPageTests","","ui.pages.SearchSideBarPageTests","enterForSearch","enterForSearch()","Get search input"
"skipped","Wed Jul 23 18:25:55 GMT 2025","Wed Jul 23 18:25:55 GMT 2025","0","","ui.pages.AccountSideBarPageTests","","ui.pages.AccountSideBarPageTests","signOutTest","signOutTest()",""
"passed","Wed Jul 23 18:25:51 GMT 2025","Wed Jul 23 18:25:52 GMT 2025","731","","api.tests.CartApiSuitSmokeTests","","api.tests.CartApiSuitSmokeTests","updateItemTest","updateItemTest()",""
"passed","Wed Jul 23 18:25:53 GMT 2025","Wed Jul 23 18:25:53 GMT 2025","604","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","checkSearchResultFilteredByBrandTest","checkSearchResultFilteredByBrandTest()",""
"passed","Wed Jul 23 18:26:38 GMT 2025","Wed Jul 23 18:26:42 GMT 2025","4358","","ui.pages.HomePageTests","","ui.pages.HomePageTests","openHomePageTest","openHomePageTest()","Open home page"
"passed","Wed Jul 23 18:25:54 GMT 2025","Wed Jul 23 18:25:54 GMT 2025","326","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getSearchResultTest","getSearchResultTest()",""
"passed","Wed Jul 23 18:26:43 GMT 2025","Wed Jul 23 18:26:48 GMT 2025","5216","","ui.pages.SearchSideBarPageTests","","ui.pages.SearchSideBarPageTests","checkInputHintText","checkInputHintText()","Check placeholder text of search input"
"failed","Wed Jul 23 18:26:18 GMT 2025","Wed Jul 23 18:26:24 GMT 2025","5796","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","openHdrCartBttnTest","openHdrCartBttnTest()","Open Cart icon is present in header component, clickable and go home page"
"broken","Wed Jul 23 18:27:21 GMT 2025","Wed Jul 23 18:27:27 GMT 2025","5961","","ui.pages.WomenNewArrivalsPageTests","","ui.pages.WomenNewArrivalsPageTests","clickRandomItem","clickRandomItem()","accessibility add item to bag"
"broken","Wed Jul 23 18:26:55 GMT 2025","Wed Jul 23 18:27:01 GMT 2025","5936","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","checkItemColorInBag","checkItemColorInBag()",""
"passed","Wed Jul 23 18:25:50 GMT 2025","Wed Jul 23 18:25:51 GMT 2025","996","","api.tests.CartApiSuitSmokeTests","","api.tests.CartApiSuitSmokeTests","addItemTest","addItemTest()",""
"skipped","Wed Jul 23 18:27:21 GMT 2025","Wed Jul 23 18:27:21 GMT 2025","0","","ui.pages.SignInPageTests","","ui.pages.SignInPageTests","signInTest","signInTest()",""
"passed","Wed Jul 23 18:26:29 GMT 2025","Wed Jul 23 18:26:33 GMT 2025","4631","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","openHdrAcntBttnTest","openHdrAcntBttnTest()","Open Account icon is present in header component, clickable and closable"
"broken","Wed Jul 23 18:27:01 GMT 2025","Wed Jul 23 18:27:09 GMT 2025","8398","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","checkItemSizeInBag","checkItemSizeInBag()",""
"broken","Wed Jul 23 18:26:05 GMT 2025","Wed Jul 23 18:26:12 GMT 2025","7060","","ui.pages.FastMenuComponentTests","","ui.pages.FastMenuComponentTests","openFastWomenNewMenuTest","openFastWomenNewMenuTest()",""
"passed","Wed Jul 23 18:25:53 GMT 2025","Wed Jul 23 18:25:54 GMT 2025","328","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getSearchResultByGenderTest","getSearchResultByGenderTest()",""
"broken","Wed Jul 23 18:27:09 GMT 2025","Wed Jul 23 18:27:15 GMT 2025","5811","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","checkItemQtyInBag","checkItemQtyInBag()",""
"broken","Wed Jul 23 18:26:12 GMT 2025","Wed Jul 23 18:26:18 GMT 2025","5958","","ui.pages.FastShopPageTests","","ui.pages.FastShopPageTests","addItemToBag","addItemToBag()",""
"passed","Wed Jul 23 18:26:33 GMT 2025","Wed Jul 23 18:26:38 GMT 2025","4189","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","checkLogoAEHeaderTest","checkLogoAEHeaderTest()","Check AE logo"
"skipped","Wed Jul 23 18:26:43 GMT 2025","Wed Jul 23 18:26:43 GMT 2025","0","","ui.pages.OrderHistoryPageTests","","ui.pages.OrderHistoryPageTests","checkOrdersOfNewUserTest","checkOrdersOfNewUserTest()",""
"skipped","Wed Jul 23 18:26:05 GMT 2025","Wed Jul 23 18:26:05 GMT 2025","0","","ui.pages.CreateAccountPageTests","","ui.pages.CreateAccountPageTests","createAccountSuccess","createAccountSuccess()",""
"passed","Wed Jul 23 18:26:24 GMT 2025","Wed Jul 23 18:26:29 GMT 2025","4639","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","openHdrSrchSideBar","openHdrSrchSideBar()","Opening search icon is present in header component, clickable and closable"
"passed","Wed Jul 23 18:25:54 GMT 2025","Wed Jul 23 18:25:55 GMT 2025","346","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getSearchResultByBrandTest","getSearchResultByBrandTest()",""
"broken","Wed Jul 23 18:27:15 GMT 2025","Wed Jul 23 18:27:21 GMT 2025","6163","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","addRandomCountOfItemsToBag","addRandomCountOfItemsToBag()",""
"passed","Wed Jul 23 18:25:52 GMT 2025","Wed Jul 23 18:25:53 GMT 2025","743","","api.tests.CartApiSuitSmokeTests","","api.tests.CartApiSuitSmokeTests","deleteItemTest","deleteItemTest()",""
"passed","Wed Jul 23 18:25:49 GMT 2025","Wed Jul 23 18:25:50 GMT 2025","459","","api.tests.CartApiSuitSmokeTests","","api.tests.CartApiSuitSmokeTests","getCartInfoTest","getCartInfoTest()",""
"passed","Wed Jul 23 18:25:55 GMT 2025","Wed Jul 23 18:26:00 GMT 2025","5693","","ui.pages.AccountSideBarPageTests","","ui.pages.AccountSideBarPageTests","openSignInPageTest","openSignInPageTest()","Open SignIn page"
"passed","Wed Jul 23 18:25:54 GMT 2025","Wed Jul 23 18:25:54 GMT 2025","268","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getZeroResultsTest","getZeroResultsTest()",""
