"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Jul 21 14:15:00 GMT 2025","Mon Jul 21 14:15:00 GMT 2025","1","","api.tests.CartApiSuitSmokeTests","","api.tests.CartApiSuitSmokeTests","getCartInfoTest","getCartInfoTest()",""
"broken","Mon Jul 21 14:15:03 GMT 2025","Mon Jul 21 14:15:03 GMT 2025","15","","ui.pages.AccountSideBarPageTests","","ui.pages.AccountSideBarPageTests","openSignInPageTest","openSignInPageTest()","Open SignIn page"
"broken","Mon Jul 21 14:15:03 GMT 2025","Mon Jul 21 14:15:03 GMT 2025","2","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","checkItemQtyInBag","checkItemQtyInBag()",""
"broken","Mon Jul 21 14:15:03 GMT 2025","Mon Jul 21 14:15:03 GMT 2025","6","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","addRandomCountOfItemsToBag","addRandomCountOfItemsToBag()",""
"skipped","Mon Jul 21 14:15:03 GMT 2025","Mon Jul 21 14:15:03 GMT 2025","0","","ui.pages.OrderHistoryPageTests","","ui.pages.OrderHistoryPageTests","checkOrdersOfNewUserTest","checkOrdersOfNewUserTest()",""
"passed","Mon Jul 21 14:15:01 GMT 2025","Mon Jul 21 14:15:02 GMT 2025","352","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getSearchResultByGenderTest","getSearchResultByGenderTest()",""
"broken","Mon Jul 21 14:15:03 GMT 2025","Mon Jul 21 14:15:03 GMT 2025","2","","ui.pages.HomePageTests","","ui.pages.HomePageTests","openHomePageTest","openHomePageTest()","Open home page"
"passed","Mon Jul 21 14:15:01 GMT 2025","Mon Jul 21 14:15:01 GMT 2025","719","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","checkSearchResultFilteredByBrandTest","checkSearchResultFilteredByBrandTest()",""
"broken","Mon Jul 21 14:15:03 GMT 2025","Mon Jul 21 14:15:03 GMT 2025","4","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","openHdrAcntBttnTest","openHdrAcntBttnTest()","Open Account icon is present in header component, clickable and closable"
"broken","Mon Jul 21 14:15:03 GMT 2025","Mon Jul 21 14:15:03 GMT 2025","2","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","openHdrSrchSideBar","openHdrSrchSideBar()","Opening search icon is present in header component, clickable and closable"
"skipped","Mon Jul 21 14:15:00 GMT 2025","Mon Jul 21 14:15:00 GMT 2025","0","","api.tests.CartApiSuitSmokeTests","","api.tests.CartApiSuitSmokeTests","updateItemTest","updateItemTest()",""
"passed","Mon Jul 21 14:15:02 GMT 2025","Mon Jul 21 14:15:02 GMT 2025","392","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getSearchResultTest","getSearchResultTest()",""
"skipped","Mon Jul 21 14:15:00 GMT 2025","Mon Jul 21 14:15:00 GMT 2025","0","","api.tests.CartApiSuitSmokeTests","","api.tests.CartApiSuitSmokeTests","deleteItemTest","deleteItemTest()",""
"broken","Mon Jul 21 14:15:03 GMT 2025","Mon Jul 21 14:15:03 GMT 2025","2","","ui.pages.WomenNewArrivalsPageTests","","ui.pages.WomenNewArrivalsPageTests","clickRandomItem","clickRandomItem()","accessibility add item to bag"
"broken","Mon Jul 21 14:15:03 GMT 2025","Mon Jul 21 14:15:03 GMT 2025","2","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","checkItemSizeInBag","checkItemSizeInBag()",""
"passed","Mon Jul 21 14:15:02 GMT 2025","Mon Jul 21 14:15:02 GMT 2025","289","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getZeroResultsTest","getZeroResultsTest()",""
"broken","Mon Jul 21 14:15:03 GMT 2025","Mon Jul 21 14:15:03 GMT 2025","0","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","","MenuComponentTests",""
"broken","Mon Jul 21 14:15:03 GMT 2025","Mon Jul 21 14:15:03 GMT 2025","3","","ui.pages.AccountSideBarPageTests","","ui.pages.AccountSideBarPageTests","openCreateAccountPageTest","openCreateAccountPageTest()","Open Create Account page"
"broken","Mon Jul 21 14:15:03 GMT 2025","Mon Jul 21 14:15:03 GMT 2025","2","","ui.pages.SearchSideBarPageTests","","ui.pages.SearchSideBarPageTests","enterForSearch","enterForSearch()","Get search input"
