"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jul 28 21:02:27 GMT 2025","Mon Jul 28 21:02:27 GMT 2025","6","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getSearchResultTest","getSearchResultTest()",""
"broken","Mon Jul 28 21:05:20 GMT 2025","Mon Jul 28 21:05:48 GMT 2025","27447","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [1] View All, https://www.ae.com/us/en/c/women/womens?pagetype=clp",""
"passed","Mon Jul 28 21:23:34 GMT 2025","Mon Jul 28 21:23:52 GMT 2025","18101","","ui.pages.SearchSideBarPageTests","","ui.pages.SearchSideBarPageTests","enterForSearch","enterForSearch()","Get search input"
"broken","Mon Jul 28 21:17:47 GMT 2025","Mon Jul 28 21:18:15 GMT 2025","28115","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [28] AE Graphics Shop, https://www.ae.com/us/en/c/ae-graphics/cat2950001?pagetype=plp",""
"failed","Mon Jul 28 21:04:34 GMT 2025","Mon Jul 28 21:04:50 GMT 2025","15607","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","openHdrAcntBttnTest","openHdrAcntBttnTest()","Open Account icon is present in header component, clickable and closable"
"skipped","Mon Jul 28 21:23:18 GMT 2025","Mon Jul 28 21:23:18 GMT 2025","0","","ui.pages.OrderHistoryPageTests","","ui.pages.OrderHistoryPageTests","checkOrdersOfNewUserTest","checkOrdersOfNewUserTest()",""
"passed","Mon Jul 28 21:03:03 GMT 2025","Mon Jul 28 21:03:20 GMT 2025","17146","","ui.pages.FastMenuComponentTests","","ui.pages.FastMenuComponentTests","openFastWomenNewMenuTest","openFastWomenNewMenuTest()",""
"broken","Mon Jul 28 21:09:01 GMT 2025","Mon Jul 28 21:09:29 GMT 2025","27814","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [9] Tank & Tube Tops, https://www.ae.com/us/en/c/women/tops/tank-tops/cat380157?pagetype=plp",""
"broken","Mon Jul 28 21:08:06 GMT 2025","Mon Jul 28 21:08:34 GMT 2025","27762","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [7] Dresses & Jumpsuits, https://www.ae.com/us/en/c/women/dresses/cat1320034",""
"failed","Mon Jul 28 21:24:47 GMT 2025","Mon Jul 28 21:25:43 GMT 2025","55449","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","checkItemSizeInBag","checkItemSizeInBag()",""
"broken","Mon Jul 28 21:20:33 GMT 2025","Mon Jul 28 21:21:01 GMT 2025","27897","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [34] The Summer I Turned Pretty: Belly's Closet, https://www.ae.com/us/en/x/women/featured/ae-x-the-summer-i-turned-pretty-women?menu=cat4840004&pagetype=shp",""
"broken","Mon Jul 28 21:11:20 GMT 2025","Mon Jul 28 21:11:48 GMT 2025","27559","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [14] Accessories & Socks, https://www.ae.com/us/en/c/women/accessories-socks/cat4840018?pagetype=plp",""
"broken","Mon Jul 28 21:02:27 GMT 2025","Mon Jul 28 21:02:27 GMT 2025","5","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getZeroResultsTest","getZeroResultsTest()",""
