"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jul 22 15:48:42 GMT 2025","Tue Jul 22 15:48:42 GMT 2025","8","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getSearchResultByBrandTest","getSearchResultByBrandTest()",""
"skipped","Tue Jul 22 15:48:45 GMT 2025","Tue Jul 22 15:48:45 GMT 2025","0","","ui.pages.SignInPageTests","","ui.pages.SignInPageTests","signInTest","signInTest()",""
"broken","Tue Jul 22 15:48:42 GMT 2025","Tue Jul 22 15:48:42 GMT 2025","1","","api.tests.CartApiSuitSmokeTests","","api.tests.CartApiSuitSmokeTests","","CartApiSuitSmokeTests",""
"broken","Tue Jul 22 15:48:44 GMT 2025","Tue Jul 22 15:48:44 GMT 2025","156","","ui.pages.SearchSideBarPageTests","","ui.pages.SearchSideBarPageTests","checkInputHintText","checkInputHintText()","Check placeholder text of search input"
"broken","Tue Jul 22 15:48:43 GMT 2025","Tue Jul 22 15:48:44 GMT 2025","151","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","openHdrAcntBttnTest","openHdrAcntBttnTest()","Open Account icon is present in header component, clickable and closable"
"broken","Tue Jul 22 15:48:42 GMT 2025","Tue Jul 22 15:48:42 GMT 2025","6","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getSearchResultTest","getSearchResultTest()",""
"broken","Tue Jul 22 15:48:43 GMT 2025","Tue Jul 22 15:48:43 GMT 2025","154","","ui.pages.FastMenuComponentTests","","ui.pages.FastMenuComponentTests","openFastWomenNewMenuTest","openFastWomenNewMenuTest()",""
"broken","Tue Jul 22 15:48:43 GMT 2025","Tue Jul 22 15:48:43 GMT 2025","159","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","openHdrSrchSideBar","openHdrSrchSideBar()","Opening search icon is present in header component, clickable and closable"
"broken","Tue Jul 22 15:48:44 GMT 2025","Tue Jul 22 15:48:44 GMT 2025","151","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","checkLogoAEHeaderTest","checkLogoAEHeaderTest()","Check AE logo"
"broken","Tue Jul 22 15:48:45 GMT 2025","Tue Jul 22 15:48:45 GMT 2025","156","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","checkItemSizeInBag","checkItemSizeInBag()",""
"skipped","Tue Jul 22 15:48:43 GMT 2025","Tue Jul 22 15:48:43 GMT 2025","0","","ui.pages.CreateAccountPageTests","","ui.pages.CreateAccountPageTests","createAccountSuccess","createAccountSuccess()",""
"broken","Tue Jul 22 15:48:44 GMT 2025","Tue Jul 22 15:48:45 GMT 2025","209","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","checkItemColorInBag","checkItemColorInBag()",""
"broken","Tue Jul 22 15:48:43 GMT 2025","Tue Jul 22 15:48:43 GMT 2025","152","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","openHdrCartBttnTest","openHdrCartBttnTest()","Open Cart icon is present in header component, clickable and go home page"
"broken","Tue Jul 22 15:48:45 GMT 2025","Tue Jul 22 15:48:45 GMT 2025","150","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","addRandomCountOfItemsToBag","addRandomCountOfItemsToBag()",""
"broken","Tue Jul 22 15:48:42 GMT 2025","Tue Jul 22 15:48:42 GMT 2025","8","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","checkSearchResultFilteredByBrandTest","checkSearchResultFilteredByBrandTest()",""
"broken","Tue Jul 22 15:48:44 GMT 2025","Tue Jul 22 15:48:44 GMT 2025","149","","ui.pages.SearchSideBarPageTests","","ui.pages.SearchSideBarPageTests","enterForSearch","enterForSearch()","Get search input"
"broken","Tue Jul 22 15:48:43 GMT 2025","Tue Jul 22 15:48:43 GMT 2025","152","","ui.pages.FastShopPageTests","","ui.pages.FastShopPageTests","addItemToBag","addItemToBag()",""
"broken","Tue Jul 22 15:48:44 GMT 2025","Tue Jul 22 15:48:44 GMT 2025","153","","ui.pages.HomePageTests","","ui.pages.HomePageTests","openHomePageTest","openHomePageTest()","Open home page"
"broken","Tue Jul 22 15:48:42 GMT 2025","Tue Jul 22 15:48:42 GMT 2025","6","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getSearchResultByGenderTest","getSearchResultByGenderTest()",""
"skipped","Tue Jul 22 15:48:44 GMT 2025","Tue Jul 22 15:48:44 GMT 2025","0","","ui.pages.OrderHistoryPageTests","","ui.pages.OrderHistoryPageTests","checkOrdersOfNewUserTest","checkOrdersOfNewUserTest()",""
"broken","Tue Jul 22 15:48:42 GMT 2025","Tue Jul 22 15:48:42 GMT 2025","35","","api.tests.CartApiTests","","api.tests.CartApiTests","addMinImpossibleItemsTest","addMinImpossibleItemsTest()",""
