"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jul 30 08:15:44 GMT 2025","Wed Jul 30 08:17:19 GMT 2025","94286","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","checkItemSizeInBagTest","checkItemSizeInBagTest()",""
"passed","Wed Jul 30 07:37:54 GMT 2025","Wed Jul 30 07:37:54 GMT 2025","691","","api.tests.CartApiSuitSmokeTests","","api.tests.CartApiSuitSmokeTests","addItemTest","addItemTest()",""
"passed","Wed Jul 30 07:51:48 GMT 2025","Wed Jul 30 07:52:08 GMT 2025","19764","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [31] The AE Sunchaser Collection, https://www.ae.com/us/en/x/women/featured/the-ae-sunchaser-collection?menu=cat4840004&pagetype=shp",""
"broken","Wed Jul 30 07:39:02 GMT 2025","Wed Jul 30 07:40:16 GMT 2025","73769","","ui.pages.FastShopPageTests","","ui.pages.FastShopPageTests","addItemToBagWomenNewArrTest","addItemToBagWomenNewArrTest()",""
"passed","Wed Jul 30 07:55:07 GMT 2025","Wed Jul 30 07:55:25 GMT 2025","18525","","ui.pages.SearchSideBarPageTests","","ui.pages.SearchSideBarPageTests","checkInputHintText","checkInputHintText()","Check placeholder text of search input"
"passed","Wed Jul 30 07:47:49 GMT 2025","Wed Jul 30 07:48:09 GMT 2025","19914","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [19] Aerie Bras & Bralettes, https://www.ae.com/us/en/c/aerie/bras/cat4840012?pagetype=plp",""
"passed","Wed Jul 30 07:37:53 GMT 2025","Wed Jul 30 07:37:53 GMT 2025","467","","api.tests.CartApiSuitSmokeTests","","api.tests.CartApiSuitSmokeTests","getCartInfoTest","getCartInfoTest()",""
"passed","Wed Jul 30 07:48:29 GMT 2025","Wed Jul 30 07:48:49 GMT 2025","19719","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [21] Aerie Swimsuits, https://www.ae.com/us/en/c/aerie/swimsuits/cat7030095?pagetype=plp",""
"passed","Wed Jul 30 07:46:10 GMT 2025","Wed Jul 30 07:46:30 GMT 2025","19944","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [14] Accessories & Socks, https://www.ae.com/us/en/c/women/accessories-socks/cat4840018?pagetype=plp",""
"passed","Wed Jul 30 07:53:48 GMT 2025","Wed Jul 30 07:54:08 GMT 2025","20146","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [37] Denim on Denim, https://www.ae.com/us/en/x/women/women-denim-on-denim?menu=cat4840004&pagetype=shp",""
