"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 30 11:01:38 GMT 2025","Wed Jul 30 11:01:38 GMT 2025","199","","api.tests.CartApiTests","","api.tests.CartApiTests","addMinImpossibleItemsTest","addMinImpossibleItemsTest()",""
"passed","Wed Jul 30 11:06:43 GMT 2025","Wed Jul 30 11:07:03 GMT 2025","20481","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [4] Tops, https://www.ae.com/us/en/c/women/tops/cat10049?pagetype=plp",""
"passed","Wed Jul 30 11:04:45 GMT 2025","Wed Jul 30 11:05:04 GMT 2025","19052","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","openHdrAcntBttnTest","openHdrAcntBttnTest()","Open Account icon is present in header component, clickable and closable"
"passed","Wed Jul 30 11:01:36 GMT 2025","Wed Jul 30 11:01:36 GMT 2025","504","","api.tests.CartApiSuitSmokeTests","","api.tests.CartApiSuitSmokeTests","getCartInfoTest","getCartInfoTest()",""
"passed","Wed Jul 30 11:09:26 GMT 2025","Wed Jul 30 11:09:46 GMT 2025","19963","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [12] Skirts & Skorts, https://www.ae.com/us/en/c/women/bottoms/skirts-skorts/cat5920105",""
"passed","Wed Jul 30 11:10:26 GMT 2025","Wed Jul 30 11:10:46 GMT 2025","19983","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [15] Shoes, https://www.ae.com/us/en/c/women/shoes/cat4840020?pagetype=plp",""
"passed","Wed Jul 30 11:01:36 GMT 2025","Wed Jul 30 11:01:37 GMT 2025","779","","api.tests.CartApiSuitSmokeTests","","api.tests.CartApiSuitSmokeTests","addItemTest","addItemTest()",""
"passed","Wed Jul 30 11:08:25 GMT 2025","Wed Jul 30 11:08:46 GMT 2025","20445","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [9] Tank & Tube Tops, https://www.ae.com/us/en/c/women/tops/tank-tops/cat380157?pagetype=plp",""
"passed","Wed Jul 30 11:01:39 GMT 2025","Wed Jul 30 11:01:40 GMT 2025","315","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getSearchResultTest","getSearchResultTest()",""
"passed","Wed Jul 30 11:09:46 GMT 2025","Wed Jul 30 11:10:06 GMT 2025","20143","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [13] Loungewear & PJs, https://www.ae.com/us/en/c/women/loungewear-pjs/cat730011",""
"passed","Wed Jul 30 11:08:46 GMT 2025","Wed Jul 30 11:09:06 GMT 2025","20485","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [10] Blouses, https://www.ae.com/us/en/c/women/tops/blouses/cat360002?pagetype=plp",""
"passed","Wed Jul 30 11:02:46 GMT 2025","Wed Jul 30 11:04:04 GMT 2025","78689","","ui.pages.FastShopPageTests","","ui.pages.FastShopPageTests","addItemToBagWomenNewArrTest","addItemToBagWomenNewArrTest()",""
"passed","Wed Jul 30 11:02:05 GMT 2025","Wed Jul 30 11:02:25 GMT 2025","20216","","ui.pages.AccountSideBarPageTests","","ui.pages.AccountSideBarPageTests","openCreateAccountPageTest","openCreateAccountPageTest()","Open Create Account page"
"passed","Wed Jul 30 11:07:24 GMT 2025","Wed Jul 30 11:07:44 GMT 2025","20440","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [6] Bottoms, https://www.ae.com/us/en/c/women/bottoms/cat10051?pagetype=plp",""
"passed","Wed Jul 30 11:06:01 GMT 2025","Wed Jul 30 11:06:22 GMT 2025","20606","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [2] New Arrivals, https://www.ae.com/us/en/c/women/new-arrivals/11gj7jfZ1266xyj-filtered?pagetype=plp",""
"skipped","Wed Jul 30 11:01:43 GMT 2025","Wed Jul 30 11:01:43 GMT 2025","1","","ui.pages.AccountSideBarPageTests","","ui.pages.AccountSideBarPageTests","signOutTest","signOutTest()",""
"passed","Wed Jul 30 11:01:39 GMT 2025","Wed Jul 30 11:01:39 GMT 2025","297","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getSearchResultByGenderTest","getSearchResultByGenderTest()",""
"passed","Wed Jul 30 11:04:26 GMT 2025","Wed Jul 30 11:04:45 GMT 2025","18951","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","openHdrSrchSideBar","openHdrSrchSideBar()","Opening search icon is present in header component, clickable and closable"
"passed","Wed Jul 30 11:01:38 GMT 2025","Wed Jul 30 11:01:39 GMT 2025","382","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","checkSearchResultFilteredByBrandTest","checkSearchResultFilteredByBrandTest()",""
"skipped","Wed Jul 30 11:02:25 GMT 2025","Wed Jul 30 11:02:25 GMT 2025","0","","ui.pages.CreateAccountPageTests","","ui.pages.CreateAccountPageTests","createAccountSuccess","createAccountSuccess()",""
"passed","Wed Jul 30 11:10:46 GMT 2025","Wed Jul 30 11:11:06 GMT 2025","19964","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [16] Jackets & Vests, https://www.ae.com/us/en/c/women/tops/jackets-vests/cat4260032",""
"passed","Wed Jul 30 11:11:26 GMT 2025","Wed Jul 30 11:11:46 GMT 2025","19781","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [18] AE77 Premium Collection, https://www.ae.com/us/en/c/women/ae77-premium-collection/cat2450006",""
"passed","Wed Jul 30 11:02:25 GMT 2025","Wed Jul 30 11:02:46 GMT 2025","20731","","ui.pages.FastMenuComponentTests","","ui.pages.FastMenuComponentTests","openFastWomenNewMenuTest","openFastWomenNewMenuTest()",""
"passed","Wed Jul 30 11:01:38 GMT 2025","Wed Jul 30 11:01:38 GMT 2025","483","","api.tests.CartApiSuitSmokeTests","","api.tests.CartApiSuitSmokeTests","deleteItemTest","deleteItemTest()",""
"passed","Wed Jul 30 11:05:22 GMT 2025","Wed Jul 30 11:05:40 GMT 2025","18338","","ui.pages.HomePageTests","","ui.pages.HomePageTests","openHomePageTest","openHomePageTest()","Open home page"
"passed","Wed Jul 30 11:08:05 GMT 2025","Wed Jul 30 11:08:25 GMT 2025","20459","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [8] T-Shirts & Graphic Tees, https://www.ae.com/us/en/c/women/tops/t-shirts/cat90030?pagetype=plp",""
"passed","Wed Jul 30 11:07:03 GMT 2025","Wed Jul 30 11:07:24 GMT 2025","20630","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [5] Shorts, https://www.ae.com/us/en/c/women/bottoms/shorts/cat380159?pagetype=plp",""
"passed","Wed Jul 30 11:05:41 GMT 2025","Wed Jul 30 11:06:01 GMT 2025","20876","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [1] View All, https://www.ae.com/us/en/c/women/womens?pagetype=clp",""
"passed","Wed Jul 30 11:01:43 GMT 2025","Wed Jul 30 11:02:05 GMT 2025","21712","","ui.pages.AccountSideBarPageTests","","ui.pages.AccountSideBarPageTests","openSignInPageTest","openSignInPageTest()","Open SignIn page"
"passed","Wed Jul 30 11:11:06 GMT 2025","Wed Jul 30 11:11:26 GMT 2025","19964","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [17] Perfume & Beauty, https://www.ae.com/us/en/c/women/perfume-beauty/cat5450026",""
"passed","Wed Jul 30 11:01:37 GMT 2025","Wed Jul 30 11:01:38 GMT 2025","799","","api.tests.CartApiSuitSmokeTests","","api.tests.CartApiSuitSmokeTests","updateItemTest","updateItemTest()",""
"passed","Wed Jul 30 11:05:04 GMT 2025","Wed Jul 30 11:05:22 GMT 2025","18303","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","checkLogoAEHeaderTest","checkLogoAEHeaderTest()","Check AE logo"
"passed","Wed Jul 30 11:06:22 GMT 2025","Wed Jul 30 11:06:43 GMT 2025","20901","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [3] Jeans, https://www.ae.com/us/en/c/women/bottoms/jeans/cat6430042?pagetype=plp",""
"passed","Wed Jul 30 11:09:06 GMT 2025","Wed Jul 30 11:09:26 GMT 2025","20110","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [11] Hoodies & Sweatshirts, https://www.ae.com/us/en/c/women/tops/hoodies-sweatshirts/cat90048?pagetype=plp",""
"passed","Wed Jul 30 11:01:39 GMT 2025","Wed Jul 30 11:01:39 GMT 2025","212","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getZeroResultsTest","getZeroResultsTest()",""
"passed","Wed Jul 30 11:11:46 GMT 2025","Wed Jul 30 11:12:06 GMT 2025","19927","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [19] Aerie Bras & Bralettes, https://www.ae.com/us/en/c/aerie/bras/cat4840012?pagetype=plp",""
"passed","Wed Jul 30 11:01:40 GMT 2025","Wed Jul 30 11:01:40 GMT 2025","405","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getSearchResultByBrandTest","getSearchResultByBrandTest()",""
"passed","Wed Jul 30 11:07:44 GMT 2025","Wed Jul 30 11:08:05 GMT 2025","20351","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [7] Dresses & Jumpsuits, https://www.ae.com/us/en/c/women/dresses/cat1320034",""
"passed","Wed Jul 30 11:10:06 GMT 2025","Wed Jul 30 11:10:26 GMT 2025","19986","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [14] Accessories & Socks, https://www.ae.com/us/en/c/women/accessories-socks/cat4840018?pagetype=plp",""
"passed","Wed Jul 30 11:04:04 GMT 2025","Wed Jul 30 11:04:26 GMT 2025","21327","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","openHdrCartBttnTest","openHdrCartBttnTest()","Open Cart icon is present in header component, clickable and go home page"
