"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jul 23 18:27:52 GMT 2025","Wed Jul 23 18:27:58 GMT 2025","6160","","ui.pages.WomenNewArrivalsPageTests","","ui.pages.WomenNewArrivalsPageTests","clickRandomItem","clickRandomItem()","accessibility add item to bag"
"skipped","Wed Jul 23 18:26:25 GMT 2025","Wed Jul 23 18:26:25 GMT 2025","0","","ui.pages.AccountSideBarPageTests","","ui.pages.AccountSideBarPageTests","signOutTest","signOutTest()",""
"passed","Wed Jul 23 18:26:20 GMT 2025","Wed Jul 23 18:26:20 GMT 2025","598","","api.tests.CartApiSuitSmokeTests","","api.tests.CartApiSuitSmokeTests","getCartInfoTest","getCartInfoTest()",""
"passed","Wed Jul 23 18:26:24 GMT 2025","Wed Jul 23 18:26:24 GMT 2025","272","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getSearchResultByGenderTest","getSearchResultByGenderTest()",""
"passed","Wed Jul 23 18:26:25 GMT 2025","Wed Jul 23 18:26:31 GMT 2025","5790","","ui.pages.AccountSideBarPageTests","","ui.pages.AccountSideBarPageTests","openSignInPageTest","openSignInPageTest()","Open SignIn page"
"broken","Wed Jul 23 18:26:42 GMT 2025","Wed Jul 23 18:26:49 GMT 2025","6616","","ui.pages.FastShopPageTests","","ui.pages.FastShopPageTests","addItemToBag","addItemToBag()",""
"skipped","Wed Jul 23 18:26:36 GMT 2025","Wed Jul 23 18:26:36 GMT 2025","0","","ui.pages.CreateAccountPageTests","","ui.pages.CreateAccountPageTests","createAccountSuccess","createAccountSuccess()",""
"passed","Wed Jul 23 18:27:09 GMT 2025","Wed Jul 23 18:27:12 GMT 2025","3655","","ui.pages.HomePageTests","","ui.pages.HomePageTests","openHomePageTest","openHomePageTest()","Open home page"
"passed","Wed Jul 23 18:26:23 GMT 2025","Wed Jul 23 18:26:23 GMT 2025","236","","api.tests.CartApiTests","","api.tests.CartApiTests","addMinImpossibleItemsTest","addMinImpossibleItemsTest()",""
"passed","Wed Jul 23 18:26:23 GMT 2025","Wed Jul 23 18:26:24 GMT 2025","399","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","checkSearchResultFilteredByBrandTest","checkSearchResultFilteredByBrandTest()",""
"passed","Wed Jul 23 18:26:24 GMT 2025","Wed Jul 23 18:26:24 GMT 2025","265","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getZeroResultsTest","getZeroResultsTest()",""
"skipped","Wed Jul 23 18:27:13 GMT 2025","Wed Jul 23 18:27:13 GMT 2025","0","","ui.pages.OrderHistoryPageTests","","ui.pages.OrderHistoryPageTests","checkOrdersOfNewUserTest","checkOrdersOfNewUserTest()",""
"broken","Wed Jul 23 18:27:13 GMT 2025","Wed Jul 23 18:27:13 GMT 2025","0","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","","MenuComponentTests",""
"passed","Wed Jul 23 18:27:04 GMT 2025","Wed Jul 23 18:27:09 GMT 2025","5020","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","checkLogoAEHeaderTest","checkLogoAEHeaderTest()","Check AE logo"
"passed","Wed Jul 23 18:27:17 GMT 2025","Wed Jul 23 18:27:25 GMT 2025","7197","","ui.pages.SearchSideBarPageTests","","ui.pages.SearchSideBarPageTests","enterForSearch","enterForSearch()","Get search input"
"passed","Wed Jul 23 18:26:31 GMT 2025","Wed Jul 23 18:26:36 GMT 2025","5219","","ui.pages.AccountSideBarPageTests","","ui.pages.AccountSideBarPageTests","openCreateAccountPageTest","openCreateAccountPageTest()","Open Create Account page"
"broken","Wed Jul 23 18:27:25 GMT 2025","Wed Jul 23 18:27:30 GMT 2025","5882","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","checkItemColorInBag","checkItemColorInBag()",""
"passed","Wed Jul 23 18:26:59 GMT 2025","Wed Jul 23 18:27:04 GMT 2025","4438","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","openHdrAcntBttnTest","openHdrAcntBttnTest()","Open Account icon is present in header component, clickable and closable"
"skipped","Wed Jul 23 18:27:52 GMT 2025","Wed Jul 23 18:27:52 GMT 2025","0","","ui.pages.SignInPageTests","","ui.pages.SignInPageTests","signInTest","signInTest()",""
"broken","Wed Jul 23 18:27:37 GMT 2025","Wed Jul 23 18:27:43 GMT 2025","5744","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","checkItemQtyInBag","checkItemQtyInBag()",""
"broken","Wed Jul 23 18:27:43 GMT 2025","Wed Jul 23 18:27:52 GMT 2025","8681","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","addRandomCountOfItemsToBag","addRandomCountOfItemsToBag()",""
"passed","Wed Jul 23 18:26:24 GMT 2025","Wed Jul 23 18:26:25 GMT 2025","463","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getSearchResultTest","getSearchResultTest()",""
"passed","Wed Jul 23 18:26:25 GMT 2025","Wed Jul 23 18:26:25 GMT 2025","292","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getSearchResultByBrandTest","getSearchResultByBrandTest()",""
"passed","Wed Jul 23 18:26:21 GMT 2025","Wed Jul 23 18:26:23 GMT 2025","1371","","api.tests.CartApiSuitSmokeTests","","api.tests.CartApiSuitSmokeTests","updateItemTest","updateItemTest()",""
"passed","Wed Jul 23 18:27:13 GMT 2025","Wed Jul 23 18:27:17 GMT 2025","4401","","ui.pages.SearchSideBarPageTests","","ui.pages.SearchSideBarPageTests","checkInputHintText","checkInputHintText()","Check placeholder text of search input"
"failed","Wed Jul 23 18:26:49 GMT 2025","Wed Jul 23 18:26:55 GMT 2025","5564","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","openHdrCartBttnTest","openHdrCartBttnTest()","Open Cart icon is present in header component, clickable and go home page"
"passed","Wed Jul 23 18:26:23 GMT 2025","Wed Jul 23 18:26:23 GMT 2025","561","","api.tests.CartApiSuitSmokeTests","","api.tests.CartApiSuitSmokeTests","deleteItemTest","deleteItemTest()",""
"broken","Wed Jul 23 18:26:36 GMT 2025","Wed Jul 23 18:26:42 GMT 2025","6279","","ui.pages.FastMenuComponentTests","","ui.pages.FastMenuComponentTests","openFastWomenNewMenuTest","openFastWomenNewMenuTest()",""
"broken","Wed Jul 23 18:27:30 GMT 2025","Wed Jul 23 18:27:37 GMT 2025","6911","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","checkItemSizeInBag","checkItemSizeInBag()",""
"passed","Wed Jul 23 18:26:55 GMT 2025","Wed Jul 23 18:26:59 GMT 2025","4654","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","openHdrSrchSideBar","openHdrSrchSideBar()","Opening search icon is present in header component, clickable and closable"
"passed","Wed Jul 23 18:26:20 GMT 2025","Wed Jul 23 18:26:21 GMT 2025","869","","api.tests.CartApiSuitSmokeTests","","api.tests.CartApiSuitSmokeTests","addItemTest","addItemTest()",""
