"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 02 05:58:16 GMT 2025","Sat Aug 02 05:58:48 GMT 2025","31195","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [6] Bottoms, https://www.ae.com/us/en/c/women/bottoms/cat10051?pagetype=plp",""
"passed","Sat Aug 02 06:16:31 GMT 2025","Sat Aug 02 06:16:47 GMT 2025","15366","","ui.pages.SearchSideBarPageTests","","ui.pages.SearchSideBarPageTests","checkInputHintText","checkInputHintText()","Check placeholder text of search input"
"passed","Sat Aug 02 06:00:21 GMT 2025","Sat Aug 02 06:00:53 GMT 2025","31524","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [10] Blouses, https://www.ae.com/us/en/c/women/tops/blouses/cat360002?pagetype=plp",""
"passed","Sat Aug 02 05:49:59 GMT 2025","Sat Aug 02 05:49:59 GMT 2025","309","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getSearchResultByGenderTest","getSearchResultByGenderTest()",""
"passed","Sat Aug 02 06:23:55 GMT 2025","Sat Aug 02 06:25:18 GMT 2025","82466","","ui.pages.WomenNewArrivalsPageTests","","ui.pages.WomenNewArrivalsPageTests","clickRandomItem","clickRandomItem()","accessibility add item to bag"
"passed","Sat Aug 02 05:56:42 GMT 2025","Sat Aug 02 05:57:14 GMT 2025","31672","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [3] Jeans, https://www.ae.com/us/en/c/women/bottoms/jeans/cat6430042?pagetype=plp",""
"passed","Sat Aug 02 05:55:09 GMT 2025","Sat Aug 02 05:55:39 GMT 2025","29495","","ui.pages.HomePageTests","","ui.pages.HomePageTests","openHomePageTest","openHomePageTest()","Open home page"
"passed","Sat Aug 02 05:55:39 GMT 2025","Sat Aug 02 05:56:10 GMT 2025","31515","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [1] View All, https://www.ae.com/us/en/c/women/womens?pagetype=clp",""
"passed","Sat Aug 02 05:50:00 GMT 2025","Sat Aug 02 05:50:00 GMT 2025","303","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getSearchResultTest","getSearchResultTest()",""
"passed","Sat Aug 02 05:49:58 GMT 2025","Sat Aug 02 05:49:58 GMT 2025","449","","api.tests.CartApiSuitSmokeTests","","api.tests.CartApiSuitSmokeTests","deleteItemTest","deleteItemTest()",""
"passed","Sat Aug 02 06:16:47 GMT 2025","Sat Aug 02 06:17:20 GMT 2025","32824","","ui.pages.SearchSideBarPageTests","","ui.pages.SearchSideBarPageTests","enterForSearch","enterForSearch()","Get search input"
"passed","Sat Aug 02 06:02:27 GMT 2025","Sat Aug 02 06:02:58 GMT 2025","31241","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [14] Accessories & Socks, https://www.ae.com/us/en/c/women/accessories-socks/cat4840018?pagetype=plp",""
"passed","Sat Aug 02 06:09:14 GMT 2025","Sat Aug 02 06:09:46 GMT 2025","31206","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [27] Bottoms Under $39, https://www.ae.com/us/en/x/women/bottoms/women-bottoms-under-39?menu=cat480004&pagetype=shp",""
"passed","Sat Aug 02 05:53:08 GMT 2025","Sat Aug 02 05:53:40 GMT 2025","31711","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","openHdrCartBttnTest","openHdrCartBttnTest()","Open Cart icon is present in header component, clickable and go home page"
"passed","Sat Aug 02 06:04:01 GMT 2025","Sat Aug 02 06:04:32 GMT 2025","31300","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [17] Perfume & Beauty, https://www.ae.com/us/en/c/women/perfume-beauty/cat5450026",""
"passed","Sat Aug 02 06:00:53 GMT 2025","Sat Aug 02 06:01:24 GMT 2025","31376","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [11] Hoodies & Sweatshirts, https://www.ae.com/us/en/c/women/tops/hoodies-sweatshirts/cat90048?pagetype=plp",""
"passed","Sat Aug 02 06:12:22 GMT 2025","Sat Aug 02 06:12:53 GMT 2025","31187","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [33] The Linen Shop, https://www.ae.com/us/en/x/women/women-linen-blend-shop?menu=cat480004&pagetype=shp",""
"passed","Sat Aug 02 05:49:59 GMT 2025","Sat Aug 02 05:50:00 GMT 2025","211","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getZeroResultsTest","getZeroResultsTest()",""
"passed","Sat Aug 02 06:01:24 GMT 2025","Sat Aug 02 06:01:56 GMT 2025","31234","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [12] Skirts & Skorts, https://www.ae.com/us/en/c/women/bottoms/skirts-skorts/cat5920105",""
"passed","Sat Aug 02 06:07:40 GMT 2025","Sat Aug 02 06:08:12 GMT 2025","31275","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [24] Bestsellers, https://www.ae.com/us/en/x/women/featured/women-best-sellers",""
"passed","Sat Aug 02 06:08:43 GMT 2025","Sat Aug 02 06:09:14 GMT 2025","31454","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [26] Tees & Tanks Under $15, https://www.ae.com/us/en/x/women/tops/our-fave-tees-tanks?menu=cat4840004&pagetype=shp",""
