"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jul 24 09:09:02 GMT 2025","Thu Jul 24 09:09:02 GMT 2025","0","","ui.pages.SignInPageTests","","ui.pages.SignInPageTests","signInTest","signInTest()",""
"passed","Thu Jul 24 09:06:43 GMT 2025","Thu Jul 24 09:06:43 GMT 2025","465","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","checkSearchResultFilteredByBrandTest","checkSearchResultFilteredByBrandTest()",""
"passed","Thu Jul 24 09:07:27 GMT 2025","Thu Jul 24 09:07:31 GMT 2025","4152","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","openHdrAcntBttnTest","openHdrAcntBttnTest()","Open Account icon is present in header component, clickable and closable"
"passed","Thu Jul 24 09:07:38 GMT 2025","Thu Jul 24 09:07:42 GMT 2025","3854","","ui.pages.SearchSideBarPageTests","","ui.pages.SearchSideBarPageTests","checkInputHintText","checkInputHintText()","Check placeholder text of search input"
"passed","Thu Jul 24 09:06:54 GMT 2025","Thu Jul 24 09:07:05 GMT 2025","11411","","ui.pages.FastMenuComponentTests","","ui.pages.FastMenuComponentTests","openFastWomenNewMenuTest","openFastWomenNewMenuTest()",""
"broken","Thu Jul 24 09:07:05 GMT 2025","Thu Jul 24 09:07:17 GMT 2025","11962","","ui.pages.FastShopPageTests","","ui.pages.FastShopPageTests","addItemToBag","addItemToBag()",""
"passed","Thu Jul 24 09:06:42 GMT 2025","Thu Jul 24 09:06:43 GMT 2025","150","","api.tests.CartApiTests","","api.tests.CartApiTests","addMinImpossibleItemsTest","addMinImpossibleItemsTest()",""
"passed","Thu Jul 24 09:06:40 GMT 2025","Thu Jul 24 09:06:41 GMT 2025","485","","api.tests.CartApiSuitSmokeTests","","api.tests.CartApiSuitSmokeTests","getCartInfoTest","getCartInfoTest()",""
"passed","Thu Jul 24 09:06:44 GMT 2025","Thu Jul 24 09:06:44 GMT 2025","263","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getSearchResultByBrandTest","getSearchResultByBrandTest()",""
"passed","Thu Jul 24 09:07:31 GMT 2025","Thu Jul 24 09:07:34 GMT 2025","3692","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","checkLogoAEHeaderTest","checkLogoAEHeaderTest()","Check AE logo"
"skipped","Thu Jul 24 09:06:44 GMT 2025","Thu Jul 24 09:06:44 GMT 2025","0","","ui.pages.AccountSideBarPageTests","","ui.pages.AccountSideBarPageTests","signOutTest","signOutTest()",""
"passed","Thu Jul 24 09:07:17 GMT 2025","Thu Jul 24 09:07:23 GMT 2025","5484","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","openHdrCartBttnTest","openHdrCartBttnTest()","Open Cart icon is present in header component, clickable and go home page"
"broken","Thu Jul 24 09:07:48 GMT 2025","Thu Jul 24 09:07:59 GMT 2025","10565","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","checkItemColorInBag","checkItemColorInBag()",""
