"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 23 14:40:20 GMT 2025","Wed Jul 23 14:40:26 GMT 2025","5379","","ui.pages.AccountSideBarPageTests","","ui.pages.AccountSideBarPageTests","openSignInPageTest","openSignInPageTest()","Open SignIn page"
"broken","Wed Jul 23 14:40:20 GMT 2025","Wed Jul 23 14:40:20 GMT 2025","4","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getSearchResultByBrandTest","getSearchResultByBrandTest()",""
"broken","Wed Jul 23 14:40:20 GMT 2025","Wed Jul 23 14:40:20 GMT 2025","3","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getSearchResultByGenderTest","getSearchResultByGenderTest()",""
"skipped","Wed Jul 23 14:40:20 GMT 2025","Wed Jul 23 14:40:20 GMT 2025","0","","ui.pages.AccountSideBarPageTests","","ui.pages.AccountSideBarPageTests","signOutTest","signOutTest()",""
"broken","Wed Jul 23 14:41:28 GMT 2025","Wed Jul 23 14:41:34 GMT 2025","5779","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","checkItemQtyInBag","checkItemQtyInBag()",""
"skipped","Wed Jul 23 14:41:40 GMT 2025","Wed Jul 23 14:41:40 GMT 2025","0","","ui.pages.SignInPageTests","","ui.pages.SignInPageTests","signInTest","signInTest()",""
"broken","Wed Jul 23 14:40:37 GMT 2025","Wed Jul 23 14:40:43 GMT 2025","5946","","ui.pages.FastShopPageTests","","ui.pages.FastShopPageTests","addItemToBag","addItemToBag()",""
"broken","Wed Jul 23 14:40:20 GMT 2025","Wed Jul 23 14:40:20 GMT 2025","8","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getZeroResultsTest","getZeroResultsTest()",""
"broken","Wed Jul 23 14:41:05 GMT 2025","Wed Jul 23 14:41:05 GMT 2025","0","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","","MenuComponentTests",""
"skipped","Wed Jul 23 14:41:05 GMT 2025","Wed Jul 23 14:41:05 GMT 2025","0","","ui.pages.OrderHistoryPageTests","","ui.pages.OrderHistoryPageTests","checkOrdersOfNewUserTest","checkOrdersOfNewUserTest()",""
"broken","Wed Jul 23 14:40:20 GMT 2025","Wed Jul 23 14:40:20 GMT 2025","1","","api.tests.CartApiSuitSmokeTests","","api.tests.CartApiSuitSmokeTests","","CartApiSuitSmokeTests",""
"passed","Wed Jul 23 14:40:58 GMT 2025","Wed Jul 23 14:41:01 GMT 2025","3560","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","checkLogoAEHeaderTest","checkLogoAEHeaderTest()","Check AE logo"
"broken","Wed Jul 23 14:40:20 GMT 2025","Wed Jul 23 14:40:20 GMT 2025","38","","api.tests.CartApiTests","","api.tests.CartApiTests","addMinImpossibleItemsTest","addMinImpossibleItemsTest()",""
"passed","Wed Jul 23 14:41:01 GMT 2025","Wed Jul 23 14:41:05 GMT 2025","3648","","ui.pages.HomePageTests","","ui.pages.HomePageTests","openHomePageTest","openHomePageTest()","Open home page"
"skipped","Wed Jul 23 14:40:31 GMT 2025","Wed Jul 23 14:40:31 GMT 2025","0","","ui.pages.CreateAccountPageTests","","ui.pages.CreateAccountPageTests","createAccountSuccess","createAccountSuccess()",""
"passed","Wed Jul 23 14:41:09 GMT 2025","Wed Jul 23 14:41:17 GMT 2025","7283","","ui.pages.SearchSideBarPageTests","","ui.pages.SearchSideBarPageTests","enterForSearch","enterForSearch()","Get search input"
"passed","Wed Jul 23 14:41:05 GMT 2025","Wed Jul 23 14:41:09 GMT 2025","4070","","ui.pages.SearchSideBarPageTests","","ui.pages.SearchSideBarPageTests","checkInputHintText","checkInputHintText()","Check placeholder text of search input"
"broken","Wed Jul 23 14:40:31 GMT 2025","Wed Jul 23 14:40:37 GMT 2025","6008","","ui.pages.FastMenuComponentTests","","ui.pages.FastMenuComponentTests","openFastWomenNewMenuTest","openFastWomenNewMenuTest()",""
"broken","Wed Jul 23 14:40:20 GMT 2025","Wed Jul 23 14:40:20 GMT 2025","9","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getSearchResultTest","getSearchResultTest()",""
"broken","Wed Jul 23 14:40:20 GMT 2025","Wed Jul 23 14:40:20 GMT 2025","5","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","checkSearchResultFilteredByBrandTest","checkSearchResultFilteredByBrandTest()",""
"failed","Wed Jul 23 14:40:43 GMT 2025","Wed Jul 23 14:40:49 GMT 2025","5591","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","openHdrCartBttnTest","openHdrCartBttnTest()","Open Cart icon is present in header component, clickable and go home page"
"broken","Wed Jul 23 14:41:23 GMT 2025","Wed Jul 23 14:41:28 GMT 2025","5714","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","checkItemSizeInBag","checkItemSizeInBag()",""
"passed","Wed Jul 23 14:40:53 GMT 2025","Wed Jul 23 14:40:58 GMT 2025","4257","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","openHdrAcntBttnTest","openHdrAcntBttnTest()","Open Account icon is present in header component, clickable and closable"
"broken","Wed Jul 23 14:41:40 GMT 2025","Wed Jul 23 14:41:46 GMT 2025","5957","","ui.pages.WomenNewArrivalsPageTests","","ui.pages.WomenNewArrivalsPageTests","clickRandomItem","clickRandomItem()","accessibility add item to bag"
"passed","Wed Jul 23 14:40:49 GMT 2025","Wed Jul 23 14:40:53 GMT 2025","4454","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","openHdrSrchSideBar","openHdrSrchSideBar()","Opening search icon is present in header component, clickable and closable"
"passed","Wed Jul 23 14:40:26 GMT 2025","Wed Jul 23 14:40:31 GMT 2025","5604","","ui.pages.AccountSideBarPageTests","","ui.pages.AccountSideBarPageTests","openCreateAccountPageTest","openCreateAccountPageTest()","Open Create Account page"
"broken","Wed Jul 23 14:41:34 GMT 2025","Wed Jul 23 14:41:40 GMT 2025","5949","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","addRandomCountOfItemsToBag","addRandomCountOfItemsToBag()",""
"broken","Wed Jul 23 14:41:17 GMT 2025","Wed Jul 23 14:41:23 GMT 2025","5811","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","checkItemColorInBag","checkItemColorInBag()",""
