"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jul 23 16:51:24 GMT 2025","Wed Jul 23 16:51:30 GMT 2025","6523","","ui.pages.FastMenuComponentTests","","ui.pages.FastMenuComponentTests","openFastWomenNewMenuTest","openFastWomenNewMenuTest()",""
"broken","Wed Jul 23 16:52:33 GMT 2025","Wed Jul 23 16:52:39 GMT 2025","5692","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","addRandomCountOfItemsToBag","addRandomCountOfItemsToBag()",""
"broken","Wed Jul 23 16:51:13 GMT 2025","Wed Jul 23 16:51:13 GMT 2025","5","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getSearchResultByGenderTest","getSearchResultByGenderTest()",""
"passed","Wed Jul 23 16:51:52 GMT 2025","Wed Jul 23 16:51:56 GMT 2025","4357","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","checkLogoAEHeaderTest","checkLogoAEHeaderTest()","Check AE logo"
"passed","Wed Jul 23 16:51:18 GMT 2025","Wed Jul 23 16:51:24 GMT 2025","6040","","ui.pages.AccountSideBarPageTests","","ui.pages.AccountSideBarPageTests","openCreateAccountPageTest","openCreateAccountPageTest()","Open Create Account page"
"broken","Wed Jul 23 16:51:13 GMT 2025","Wed Jul 23 16:51:13 GMT 2025","7","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getZeroResultsTest","getZeroResultsTest()",""
"broken","Wed Jul 23 16:52:39 GMT 2025","Wed Jul 23 16:52:45 GMT 2025","6112","","ui.pages.WomenNewArrivalsPageTests","","ui.pages.WomenNewArrivalsPageTests","clickRandomItem","clickRandomItem()","accessibility add item to bag"
"skipped","Wed Jul 23 16:52:39 GMT 2025","Wed Jul 23 16:52:39 GMT 2025","0","","ui.pages.SignInPageTests","","ui.pages.SignInPageTests","signInTest","signInTest()",""
"broken","Wed Jul 23 16:51:12 GMT 2025","Wed Jul 23 16:51:12 GMT 2025","1","","api.tests.CartApiSuitSmokeTests","","api.tests.CartApiSuitSmokeTests","","CartApiSuitSmokeTests",""
"skipped","Wed Jul 23 16:51:24 GMT 2025","Wed Jul 23 16:51:24 GMT 2025","0","","ui.pages.CreateAccountPageTests","","ui.pages.CreateAccountPageTests","createAccountSuccess","createAccountSuccess()",""
"broken","Wed Jul 23 16:51:13 GMT 2025","Wed Jul 23 16:51:13 GMT 2025","8","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getSearchResultTest","getSearchResultTest()",""
"broken","Wed Jul 23 16:52:01 GMT 2025","Wed Jul 23 16:52:01 GMT 2025","0","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","","MenuComponentTests",""
"passed","Wed Jul 23 16:52:01 GMT 2025","Wed Jul 23 16:52:05 GMT 2025","4630","","ui.pages.SearchSideBarPageTests","","ui.pages.SearchSideBarPageTests","checkInputHintText","checkInputHintText()","Check placeholder text of search input"
"passed","Wed Jul 23 16:51:43 GMT 2025","Wed Jul 23 16:51:47 GMT 2025","4367","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","openHdrSrchSideBar","openHdrSrchSideBar()","Opening search icon is present in header component, clickable and closable"
"broken","Wed Jul 23 16:51:13 GMT 2025","Wed Jul 23 16:51:13 GMT 2025","27","","api.tests.CartApiTests","","api.tests.CartApiTests","addMinImpossibleItemsTest","addMinImpossibleItemsTest()",""
"passed","Wed Jul 23 16:52:05 GMT 2025","Wed Jul 23 16:52:13 GMT 2025","7347","","ui.pages.SearchSideBarPageTests","","ui.pages.SearchSideBarPageTests","enterForSearch","enterForSearch()","Get search input"
"broken","Wed Jul 23 16:52:19 GMT 2025","Wed Jul 23 16:52:26 GMT 2025","7223","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","checkItemSizeInBag","checkItemSizeInBag()",""
"broken","Wed Jul 23 16:51:13 GMT 2025","Wed Jul 23 16:51:13 GMT 2025","3","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","checkSearchResultFilteredByBrandTest","checkSearchResultFilteredByBrandTest()",""
