"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jul 28 20:06:01 GMT 2025","Mon Jul 28 20:06:29 GMT 2025","28099","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [19] Aerie Bras & Bralettes, https://www.ae.com/us/en/c/aerie/bras/cat4840012?pagetype=plp",""
"broken","Mon Jul 28 20:07:25 GMT 2025","Mon Jul 28 20:07:53 GMT 2025","27730","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [22] Clearance, https://www.ae.com/us/en/c/women/women-s-clearance/11gj7jfZ13v7thc-filtered?pagetype=plp",""
"passed","Mon Jul 28 19:56:45 GMT 2025","Mon Jul 28 19:57:00 GMT 2025","15220","","ui.pages.HomePageTests","","ui.pages.HomePageTests","openHomePageTest","openHomePageTest()","Open home page"
"passed","Mon Jul 28 20:15:48 GMT 2025","Mon Jul 28 20:16:03 GMT 2025","15490","","ui.pages.SearchSideBarPageTests","","ui.pages.SearchSideBarPageTests","checkInputHintText","checkInputHintText()","Check placeholder text of search input"
"broken","Mon Jul 28 20:11:11 GMT 2025","Mon Jul 28 20:11:39 GMT 2025","27811","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [30] Matching Sets, https://www.ae.com/us/en/x/women/featured/women-matching-sets?pagetype=shp",""
"broken","Mon Jul 28 20:12:06 GMT 2025","Mon Jul 28 20:12:34 GMT 2025","27990","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [32] The Linen Shop, https://www.ae.com/us/en/x/women/women-linen-blend-shop?menu=cat480004&pagetype=shp",""
"failed","Mon Jul 28 19:56:14 GMT 2025","Mon Jul 28 19:56:30 GMT 2025","15596","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","openHdrAcntBttnTest","openHdrAcntBttnTest()","Open Account icon is present in header component, clickable and closable"
"broken","Mon Jul 28 20:02:06 GMT 2025","Mon Jul 28 20:02:34 GMT 2025","27696","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [12] Skirts & Skorts, https://www.ae.com/us/en/c/women/bottoms/skirts-skorts/cat5920105",""
"skipped","Mon Jul 28 19:54:41 GMT 2025","Mon Jul 28 19:54:41 GMT 2025","0","","ui.pages.CreateAccountPageTests","","ui.pages.CreateAccountPageTests","createAccountSuccess","createAccountSuccess()",""
"broken","Mon Jul 28 20:19:13 GMT 2025","Mon Jul 28 20:20:51 GMT 2025","97322","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","addRandomCountOfItemsToBag","addRandomCountOfItemsToBag()",""
"broken","Mon Jul 28 20:06:58 GMT 2025","Mon Jul 28 20:07:25 GMT 2025","27692","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [21] Aerie Swimsuits, https://www.ae.com/us/en/c/aerie/swimsuits/cat7030095?pagetype=plp",""
"broken","Mon Jul 28 19:54:06 GMT 2025","Mon Jul 28 19:54:06 GMT 2025","3","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","checkSearchResultFilteredByBrandTest","checkSearchResultFilteredByBrandTest()",""
"broken","Mon Jul 28 19:54:06 GMT 2025","Mon Jul 28 19:54:06 GMT 2025","27","","api.tests.CartApiTests","","api.tests.CartApiTests","addMinImpossibleItemsTest","addMinImpossibleItemsTest()",""
"passed","Mon Jul 28 20:20:51 GMT 2025","Mon Jul 28 20:21:55 GMT 2025","64223","","ui.pages.WomenNewArrivalsPageTests","","ui.pages.WomenNewArrivalsPageTests","clickRandomItem","clickRandomItem()","accessibility add item to bag"
"failed","Mon Jul 28 20:17:18 GMT 2025","Mon Jul 28 20:18:18 GMT 2025","60426","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","checkItemSizeInBag","checkItemSizeInBag()",""
"failed","Mon Jul 28 20:18:18 GMT 2025","Mon Jul 28 20:19:13 GMT 2025","55047","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","checkItemQtyInBag","checkItemQtyInBag()",""
"failed","Mon Jul 28 19:55:58 GMT 2025","Mon Jul 28 19:56:14 GMT 2025","15588","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","openHdrSrchSideBar","openHdrSrchSideBar()","Opening search icon is present in header component, clickable and closable"
"broken","Mon Jul 28 19:54:06 GMT 2025","Mon Jul 28 19:54:06 GMT 2025","2","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getSearchResultByBrandTest","getSearchResultByBrandTest()",""
"broken","Mon Jul 28 20:04:02 GMT 2025","Mon Jul 28 20:04:30 GMT 2025","27797","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [15] Shoes, https://www.ae.com/us/en/c/women/shoes/cat4840020?pagetype=plp",""
"passed","Mon Jul 28 19:56:30 GMT 2025","Mon Jul 28 19:56:45 GMT 2025","15328","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","checkLogoAEHeaderTest","checkLogoAEHeaderTest()","Check AE logo"
"broken","Mon Jul 28 19:54:06 GMT 2025","Mon Jul 28 19:54:06 GMT 2025","2","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getSearchResultTest","getSearchResultTest()",""
"broken","Mon Jul 28 20:10:43 GMT 2025","Mon Jul 28 20:11:11 GMT 2025","28116","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [29] The AE Sunchaser Collection, https://www.ae.com/us/en/x/women/featured/the-ae-sunchaser-collection?menu=cat4840004&pagetype=shp",""
"broken","Mon Jul 28 20:12:34 GMT 2025","Mon Jul 28 20:13:02 GMT 2025","28324","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [33] Sydney Sweeney's Picks, https://www.ae.com/us/en/x/women/featured/women-sydney-sweeneys-picks",""
"broken","Mon Jul 28 20:07:53 GMT 2025","Mon Jul 28 20:08:21 GMT 2025","28248","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [23] New Arrivals, https://www.ae.com/us/en/c/women/new-arrivals/11gj7jfZ1266xyj-filtered?pagetype=plp",""
"broken","Mon Jul 28 19:57:55 GMT 2025","Mon Jul 28 19:58:23 GMT 2025","27694","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [3] Jeans, https://www.ae.com/us/en/c/women/bottoms/jeans/cat6430042?pagetype=plp",""
"passed","Mon Jul 28 19:54:41 GMT 2025","Mon Jul 28 19:54:58 GMT 2025","16887","","ui.pages.FastMenuComponentTests","","ui.pages.FastMenuComponentTests","openFastWomenNewMenuTest","openFastWomenNewMenuTest()",""
"broken","Mon Jul 28 19:59:47 GMT 2025","Mon Jul 28 20:00:14 GMT 2025","27793","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [7] Dresses & Jumpsuits, https://www.ae.com/us/en/c/women/dresses/cat1320034",""
"passed","Mon Jul 28 19:54:24 GMT 2025","Mon Jul 28 19:54:41 GMT 2025","17036","","ui.pages.AccountSideBarPageTests","","ui.pages.AccountSideBarPageTests","openCreateAccountPageTest","openCreateAccountPageTest()","Open Create Account page"
"broken","Mon Jul 28 20:04:30 GMT 2025","Mon Jul 28 20:05:03 GMT 2025","32881","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [16] Jackets & Vests, https://www.ae.com/us/en/c/women/tops/jackets-vests/cat4260032",""
"skipped","Mon Jul 28 19:54:06 GMT 2025","Mon Jul 28 19:54:06 GMT 2025","0","","ui.pages.AccountSideBarPageTests","","ui.pages.AccountSideBarPageTests","signOutTest","signOutTest()",""
"broken","Mon Jul 28 20:02:34 GMT 2025","Mon Jul 28 20:03:02 GMT 2025","28132","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [13] Loungewear & PJs, https://www.ae.com/us/en/c/women/loungewear-pjs/cat730011",""
"failed","Mon Jul 28 20:16:22 GMT 2025","Mon Jul 28 20:17:18 GMT 2025","55925","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","checkItemColorInBag","checkItemColorInBag()",""
"broken","Mon Jul 28 19:57:28 GMT 2025","Mon Jul 28 19:57:55 GMT 2025","27691","","ui.pages.MenuComponentTests","","ui.pages.MenuComponentTests","testWomenMenuLinksAndCategoriesText","testWomenMenuLinksAndCategoriesText(String, String) [2] New Arrivals, https://www.ae.com/us/en/c/women/new-arrivals/11gj7jfZ1266xyj-filtered?pagetype=plp",""
