"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jul 23 14:22:12 GMT 2025","Wed Jul 23 14:22:12 GMT 2025","6","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getSearchResultTest","getSearchResultTest()",""
"skipped","Wed Jul 23 14:22:12 GMT 2025","Wed Jul 23 14:22:12 GMT 2025","0","","ui.pages.AccountSideBarPageTests","","ui.pages.AccountSideBarPageTests","signOutTest","signOutTest()",""
"broken","Wed Jul 23 14:22:12 GMT 2025","Wed Jul 23 14:22:12 GMT 2025","6","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getSearchResultByBrandTest","getSearchResultByBrandTest()",""
"passed","Wed Jul 23 14:22:12 GMT 2025","Wed Jul 23 14:22:22 GMT 2025","10697","","ui.pages.AccountSideBarPageTests","","ui.pages.AccountSideBarPageTests","openSignInPageTest","openSignInPageTest()","Open SignIn page"
"broken","Wed Jul 23 14:24:01 GMT 2025","Wed Jul 23 14:24:08 GMT 2025","7444","","ui.pages.WomenNewArrivalsPageTests","","ui.pages.WomenNewArrivalsPageTests","clickRandomItem","clickRandomItem()","accessibility add item to bag"
"passed","Wed Jul 23 14:22:51 GMT 2025","Wed Jul 23 14:22:56 GMT 2025","4724","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","openHdrSrchSideBar","openHdrSrchSideBar()","Opening search icon is present in header component, clickable and closable"
"broken","Wed Jul 23 14:22:12 GMT 2025","Wed Jul 23 14:22:12 GMT 2025","6","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","checkSearchResultFilteredByBrandTest","checkSearchResultFilteredByBrandTest()",""
"broken","Wed Jul 23 14:22:37 GMT 2025","Wed Jul 23 14:22:45 GMT 2025","8243","","ui.pages.FastShopPageTests","","ui.pages.FastShopPageTests","addItemToBag","addItemToBag()",""
"broken","Wed Jul 23 14:22:12 GMT 2025","Wed Jul 23 14:22:12 GMT 2025","7","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getSearchResultByGenderTest","getSearchResultByGenderTest()",""
"broken","Wed Jul 23 14:22:12 GMT 2025","Wed Jul 23 14:22:12 GMT 2025","5","","api.tests.SearchSideBarTests","","api.tests.SearchSideBarTests","getZeroResultsTest","getZeroResultsTest()",""
"skipped","Wed Jul 23 14:22:28 GMT 2025","Wed Jul 23 14:22:28 GMT 2025","0","","ui.pages.CreateAccountPageTests","","ui.pages.CreateAccountPageTests","createAccountSuccess","createAccountSuccess()",""
"passed","Wed Jul 23 14:23:12 GMT 2025","Wed Jul 23 14:23:19 GMT 2025","6439","","ui.pages.SearchSideBarPageTests","","ui.pages.SearchSideBarPageTests","checkInputHintText","checkInputHintText()","Check placeholder text of search input"
"passed","Wed Jul 23 14:22:56 GMT 2025","Wed Jul 23 14:23:02 GMT 2025","6614","","ui.pages.HeaderComponentTests","","ui.pages.HeaderComponentTests","openHdrAcntBttnTest","openHdrAcntBttnTest()","Open Account icon is present in header component, clickable and closable"
"broken","Wed Jul 23 14:23:37 GMT 2025","Wed Jul 23 14:23:45 GMT 2025","8345","","ui.pages.ShoppingBagPageTests","","ui.pages.ShoppingBagPageTests","checkItemSizeInBag","checkItemSizeInBag()",""
